Formula      , Material id  , Space group  , Prototype    , E_hull (eV/atom)  , ELF ,Dim. ,Topo. ,Spillage   , Reference
La5Bi3      , mp-1105962   , P63/mcm        , La5Bi3       ,0.0,0.92,1, TI        ,,
Ba5Sb3      , mp-9909      , P63/mcm        , La5Bi3       ,0.0,0.833,1, HSP_SM   ,1.283,"Burton, Chem. Mater, 2018    "
La5Sb3      , mp-1106084   , P63/mcm        , La5Bi3       ,0.0,0.916,1, N/A       , N/A    ,
Er5Si3      , mp-31167     , P63/mcm        , La5Bi3       ,0.0,0.908,1, HSP_SM   ,2.1837,
Er5Tl3      , mp-1105965   , P63/mcm        , La5Bi3       ,0.0,0.835,1, N/A       , N/A,
La5Pb3      , mp-1105896   , P63/mcm        , La5Bi3       ,0.0,0.905,1, N/A       , N/A     ,
Lu5Tl3      , mp-1106322   , P63/mcm        , La5Bi3       ,0.0,0.69,1, N/A       , N/A    ,
Tb5Rh3      , mp-1105551   , P63/mcm        , La5Bi3       ,0.0,0.679,1, N/A       , N/A ,
Ho5Rh3      , mp-30734     , P63/mcm        , La5Bi3       ,0.0,0.749,1, HSL_SM   ,2.2504,
Ce5Ge3      , mp-510493    , P63/mcm        , La5Bi3       ,0.0,0.842,1, HSL_SM   , N/A ,
Nd5Sn3      , mp-510503    , P63/mcm        , La5Bi3       ,0.0,0.912,1, HSP_SM   ,1.7397,
Sc5Si3      , mp-7822      , P63/mcm        , La5Bi3       ,0.0,0.889,1, HSP_SM   ,2.0008,
Lu5Rh3      , mp-865778    , P63/mcm        , La5Bi3       ,0.0,0.713,1, HSL_SM   , N/A    ,
Ca5As3      , mp-10047     , P63/mcm        , La5Bi3       ,0.0,0.8,1, HSP_SM   ,1.1776,
Y5Si3       , mp-2538      , P63/mcm        , La5Bi3       ,0.0,0.921,1, HSP_SM   ,2.0165,"Burton, Chem. Mater, 2018;  Lu, JACS, 2016*"
Tb5Si3      , mp-206       , P63/mcm        , La5Bi3       ,0.0,0.916,1, HSP_SM   ,2.1322,
Sr5Sb3      , mp-2585      , P63/mcm        , La5Bi3       ,0.0,0.797,1, HSP_SM   ,1.1229,
Nd5Ge3      , mp-1464      , P63/mcm        , La5Bi3       ,0.0,0.905,1, HSP_SM   ,1.8623,
Tb5Ge3      , mp-2610      , P63/mcm        , La5Bi3       ,0.0,0.917,1, HSP_SM   ,2.1493,
Er5Ga3      , mp-11368     , P63/mcm        , La5Bi3       ,0.0,0.81,1, HSL_SM   ,3.1467,
Ho5Si3      , mp-13236     , P63/mcm        , La5Bi3       ,0.0,0.912,1, HSP_SM   ,2.1695,
Sr5As3      , mp-15698     , P63/mcm        , La5Bi3       ,0.0,0.833,1, HSP_SM   ,0.9332,"Burton, Chem. Mater, 2018"
Yb5Sb3      , mp-201       , P63/mcm        , La5Bi3       ,0.0,0.704,1, HSP_SM   ,1.4971,"Lu, PRB, 2018*     "
Dy5Si3      , mp-2836      , P63/mcm        , La5Bi3       ,0.0,0.914,1, HSP_SM   ,2.1587,
Sr5Bi3      , mp-29620     , P63/mcm        , La5Bi3       ,0.0,0.761,1, HSP_SM   ,1.5682,
Ba5Bi3      , mp-29621     , P63/mcm        , La5Bi3       ,0.0,0.808,1, HSP_SM   ,1.8182,
Tb5Tl3      , mp-30879     , P63/mcm        , La5Bi3       ,0.0,0.873,1, HSL_SM   , N/A    ,
Pr5Ge3      , mp-17124     , P63/mcm        , La5Bi3       ,0.0,0.898,1, HSP_SM   ,2.0692,
Sm5Si3      , mp-1106373   , P63/mcm        , La5Bi3       ,0.0,0.904,1, N/A       , N/A    ,
Nd5Pb3      , mp-1106152   , P63/mcm        , La5Bi3       ,0.0,0.909,1, N/A       , N/A    ,
Lu5Ir3      , mp-1105600   , P63/mcm        , La5Bi3       ,0.0,0.49,1, N/A       , N/A    ,
Ca5Sb3      , mp-12467     , P63/mcm        , La5Bi3       ,0.001,0.747,1, HSP_SM   ,1.2727,"Burton, Chem. Mater, 2018    "
Er5Rh3      , mp-569915    , P63/mcm        , La5Bi3       ,0.003,0.747,1, HSL_SM   ,2.2509,
Ba5As3      , mp-10045     , P63/mcm        , La5Bi3       ,0.008,0.855,1, HSP_SM   ,1.0779,"Burton, Chem. Mater, 2018      "
Sc5Ga3      , mp-17332     , P63/mcm        , La5Bi3       ,0.016,0.827,1, HSL_SM   ,2.0048,
Tb5Pt3      , mp-1105543   , P63/mcm        , La5Bi3       ,0.026,0.85,1, N/A       , N/A    ,
Tm5Pt3      , mp-1105869   , P63/mcm        , La5Bi3       ,0.032,0.776,1, N/A       , N/A    ,
Yb5Pb3      , mp-571634    , P63/mcm        , La5Bi3       ,0.045,0.563,1, HSL_SM   ,3.6007,
HoMgSn            , mp-977388    , I4/mmm           , HoMgSn             ,0.0,0.732,2, TI        ,1.9682,
PrScGe            , mp-4738      , I4/mmm           , HoMgSn             ,0.0,0.869,2, TCI       ,1.9467,"Burton, Chem. Mater, 2018        "
NdScGe            , mp-4854      , I4/mmm           , HoMgSn             ,0.0,0.864,2, TCI       ,1.5493,"Burton, Chem. Mater, 2018        "
TbMgSn            , mp-1071468   , I4/mmm           , HoMgSn             ,0.0,0.738,2, TCI       ,0.898,
LaScGe            , mp-1077837   , I4/mmm           , HoMgSn             ,0.0,0.88,2, N/A       , N/A    ,
TmMgSn            , mp-1072345   , I4/mmm           , HoMgSn             ,0.0,0.724,2, HSL_SM   ,2.0273,
ErMgSn            , mp-862993    , I4/mmm           , HoMgSn             ,0.0,0.73,2, HSL_SM   , N/A    ,
SmScSi            , mp-8320      , I4/mmm           , HoMgSn             ,0.0,0.852,2, HSP_SM   ,1.9903,
PrScSi            , mp-1024960   , I4/mmm           , HoMgSn             ,0.007,0.869,2, N/A       ,1.4451,
SmTiGe            , mp-10454     , I4/mmm           , HoMgSn             ,0.012,0.703,2, HSL_SM   ,2.2418,
